2020-04-08T08:58:20.0211970-03:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2020-04-08T08:58:20.0289287-03:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2020-04-08T08:58:20.0292082-03:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2020-04-08T08:58:20.0292603-03:00  [INF] Hosting environment: "Production" (c3307c92)
2020-04-08T08:58:20.0292944-03:00  [INF] Content root path: "C:\Users\rmaier\Documents\API-ClubVan\club.van.api\bin\Release\netcoreapp3.0\publish" (b5d60022)
2020-04-08T08:58:59.7091668-03:00 0HLURMGSJ1QFD:00000001 [INF] Request starting HTTP/1.1 GET http://localhost:5000/   (ca22a1cb)
2020-04-08T08:58:59.7615174-03:00 0HLURMGSJ1QFD:00000001 [INF] Request finished in 57.3944ms 307  (791a596a)
2020-04-08T08:59:04.1105666-03:00 0HLURMGSJ1QFK:00000001 [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:04.1718436-03:00 0HLURMGSJ1QFK:00000001 [INF] Request finished in 61.2055ms 404  (791a596a)
2020-04-08T08:59:05.8429885-03:00 0HLURMGSJ1QFK:00000003 [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:05.8452543-03:00 0HLURMGSJ1QFK:00000003 [INF] Request finished in 2.6282ms 404  (791a596a)
2020-04-08T08:59:06.4545638-03:00 0HLURMGSJ1QFK:00000005 [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:06.4592194-03:00 0HLURMGSJ1QFK:00000005 [INF] Request finished in 4.7844ms 404  (791a596a)
2020-04-08T08:59:06.6452966-03:00 0HLURMGSJ1QFK:00000007 [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:06.6471345-03:00 0HLURMGSJ1QFK:00000007 [INF] Request finished in 1.8673ms 404  (791a596a)
2020-04-08T08:59:06.8134151-03:00 0HLURMGSJ1QFK:00000009 [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:06.8153152-03:00 0HLURMGSJ1QFK:00000009 [INF] Request finished in 2.1818ms 404  (791a596a)
2020-04-08T08:59:07.1274849-03:00 0HLURMGSJ1QFK:0000000B [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:07.1296930-03:00 0HLURMGSJ1QFK:0000000B [INF] Request finished in 2.4794ms 404  (791a596a)
2020-04-08T08:59:07.8647384-03:00 0HLURMGSJ1QFK:0000000D [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:07.8685689-03:00 0HLURMGSJ1QFK:0000000D [INF] Request finished in 3.973ms 404  (791a596a)
2020-04-08T08:59:08.0444564-03:00 0HLURMGSJ1QFK:0000000F [INF] Request starting HTTP/2 GET https://localhost:5001/   (ca22a1cb)
2020-04-08T08:59:08.0466391-03:00 0HLURMGSJ1QFK:0000000F [INF] Request finished in 2.6364ms 404  (791a596a)
2020-04-08T08:59:29.0921648-03:00  [INF] Application is shutting down... (90f52c38)
